ng-3-0_0_0_1_1_0,ng-3-0_0_0_1_1_0-cum,ng-3-0_0_0_1_1_0-tier,ng-3-0_0_0_0_1_0,ng-3-0_0_0_0_1_0-cum,ng-3-0_0_0_0_1_0-tier,ng-3-2_0_0_1_1_0,ng-3-2_0_0_1_1_0-cum,ng-3-2_0_0_1_1_0-tier,ng-3-2_0_0_0_1_0,ng-3-2_0_0_0_1_0-cum,ng-3-2_0_0_0_1_0-tier,ng-3-0_1_0_0_1_0,ng-3-0_1_0_0_1_0-cum,ng-3-0_1_0_0_1_0-tier,ng-3-0_1_0_1_1_0,ng-3-0_1_0_1_1_0-cum,ng-3-0_1_0_1_1_0-tier
,,,-92.3784336107937,17.647058823529413,3.0,0.4844793612697513,39.473684210526315,4.0,-89.86742272902079,0.9236453201970444,3,-90.40038861079377,46.875,3.0,,,
,,,-92.37843361079369,18.823529411764707,3.0,3.768087361269801,42.10526315789474,4.0,-89.86742272902073,0.9852216748768473,3,-82.48820861079383,50.0,3.0,,,
,,,-90.56362289568733,20.0,3.0,5.223027027936366,44.736842105263165,4.0,-89.86742272902072,1.0467980295566504,3,-80.27942467320183,53.125,3.0,,,
,,,-90.5636228956873,21.176470588235293,3.0,5.2770240279364025,47.36842105263158,4.0,-89.86742272902072,1.1083743842364533,3,-63.159496610793845,56.25,3.0,,,
,,,-90.40038861079391,22.35294117647059,3.0,27.3054220279364,50.0,4.0,-89.86742272902063,1.1699507389162562,3,-50.92436733986849,59.375,3.0,,,
,,,-90.40038861079385,23.529411764705884,3.0,27.970537694603095,52.631578947368425,4.0,-89.47012594412719,1.2315270935960592,3,-50.92436733986842,62.5,3.0,,,
,,,-90.40038861079383,24.705882352941178,3.0,48.50673138548964,55.26315789473685,4.0,-89.47012594412718,1.293103448275862,3,-45.62986461079383,65.625,3.0,,,
,,,-90.40038861079383,25.88235294117647,3.0,74.50860033006576,57.89473684210527,4.0,-89.47012594412715,1.354679802955665,3,-45.5462519441272,68.75,3.0,,,
,,,-89.66188294412714,27.058823529411764,3.0,76.34911166339904,60.526315789473685,4.0,-89.47012594412712,1.416256157635468,3,-39.357037062353946,71.875,3.0,,,
,,,-88.42234361079392,28.235294117647058,3.0,81.93906266339908,63.15789473684211,4.0,-89.4701259441271,1.477832512315271,3,-32.57208056235401,75.0,3.0,,,
,,,-88.42234361079383,29.411764705882355,3.0,97.94275688548957,65.78947368421053,4.0,-89.47012594412708,1.5394088669950738,3,-19.592336277460525,78.125,3.0,,,
,,,-86.44429861079387,30.58823529411765,3.0,97.9427568854896,68.42105263157896,4.0,-89.47012594412706,1.6009852216748768,3,7.314692722539455,81.25,3.0,,,
,,,-84.95180294412715,31.764705882352942,3.0,99.52977921882297,71.05263157894737,4.0,-89.47012594412706,1.66256157635468,3,31.92846872253945,84.375,3.0,,,
,,,-82.48820861079386,32.94117647058824,3.0,137.74389669460305,73.6842105263158,4.0,-88.92457639568741,1.7241379310344829,3,36.969596389206174,87.5,3.0,,,
,,,-73.30408561079385,34.11764705882353,3.0,145.531682694603,76.31578947368422,4.0,-88.42234361079387,1.7857142857142858,3,52.07234272253942,90.625,3.0,,,
,,,-67.8371592774605,35.294117647058826,3.0,175.38172055215642,78.94736842105263,4.0,-87.82096927746052,1.8472906403940887,3,118.76975588548967,93.75,4.0,,,
,,,-52.419972673201784,36.470588235294116,3.0,179.59751180215633,81.57894736842105,4.0,-87.82096927746048,1.9088669950738917,3,151.3565800279363,96.875,4.0,,,
